Year,SOURCE,TAXONNAME,LOCATION,N,LINF,K,T0,LINF_TYPE,TEMP,LMAX,SEX_SEPERATE,LMAT50,LMAT95,LMAT_TYPE,N,LW_A,LW_B,LW_TYPE,N,LONG,N
2012,Andrews et al 2012,Pristipomoides filamentosus,NWHI,136,675,0.242,-0.29,FL (mm),,,,,,,,,,,,42,
2019,Andrews et al 2019,Hyporthodus quernus,HI,66,95.8,0.078,-2.4,TL (cm),,,,,,,,,,,,76,
2020,Andrews et al 2020,Etelis coruscans,HI,187,85.3,0.124,-1.1,FL (cm),,85.2,,,,,,,,,,,
2018,Ault et al 2018,Etelis coruscans,HI,,,,,,,,,,,,,6.01E-05,2.673,,1437,,
2018,Ault et al 2018,Etelis carbunculus,HI,,,,,,,,,,,,,1.55E-05,3.026,,1165,,
2018,Ault et al 2018,Pristipomoides sieboldii,HI,,,,,,,,,,,,,2.24E-05,2.932,,557,,
2018,Ault et al 2018,Pristipomoides filamentosus,HI,,,,,,,,,,,,,2.31E-05,2.928,,1443,,
2018,Ault et al 2018,Pristipomoides zonatus,HI,,,,,,,,,,,,,3.53E-05,2.859,,145,,
2018,Ault et al 2018,Hyporthodus quernus,HI,,,,,,,,,,,,,3.07E-05,2.884,,858,,
2018,Ault et al 2018,Aphareus rutilans,HI,,,,,,,,,,,,,1.30E-04,2.458,,129,,
2017,DeMartini 2017,Etelis carbunculus,MHI,,,,,,,,,23.4,,,214,,,,,,
2017,DeMartini 2017,Pristipomoides sieboldii,MHI,,,,,,,,,23.8,,,205,,,,,,
2011,DeMartini et al 2011,Hyporthodus quernus,NWHI,,,,,,,,,580,,TL (mm),540,,,,,,
2006,Fry et al 2006,Aphareus rutilans,Papua New Guinea,22,827,0.16,,SL (mm),,,,,,,,,,,,,
2006,Fry et al 2006,Etelis carbunculus,Papua New Guinea,77,791,0.1,,SL (mm),,,,,,,,,,,,,
2006,Fry et al 2006,Etelis coruscans,Papua New Guinea,23,729,0.27,,SL (mm),,,,,,,,,,,,,
2006,Fry et al 2006,Pristipomoides filamentosus,Papua New Guinea,56,412,0.34,,SL (mm),,,,,,,,,,,,,
2006,Fry et al 2006,Pristipomoides zonatus,Papua New Guinea,54,313,0.38,,SL (mm),,,,,,,,,,,,,
2015,Kamikawa et al 2015,Aphareus rutilans,Guam,86,,,,(cm),,90.5,,,,,,0.0343,2.77,,86,,
2015,Kamikawa et al 2015,Etelis carbunculus,Guam,575,,,,(cm),,63.4,,,,,,0.0159,3.03,,575,,
2015,Kamikawa et al 2015,Etelis coruscans,Guam,255,,,,(cm),,95,,,,,,0.0425,2.75,,255,,
2015,Kamikawa et al 2015,Pristipomoides filamentosus,Guam,114,,,,(cm),,67.4,,,,,,0.0225,2.93,,114,,
2015,Kamikawa et al 2015,Pristipomoides sieboldii,Guam,130,,,,(cm),,63.2,,,,,,0.0243,2.91,,,,
2015,Kamikawa et al 2015,Pristipomoides zonatus,Guam,329,,,,(cm),,57.5,,,,,,0.018,3.04,,,,
2018,Luers et al 2018,Pristopomoides filamentosus,HI,,,,,,,,,40.7,,FL (cm),898,,,,,,
1988,Ralston 1988,Pristopomoides zonatus,,,,,,,,,,,,,,0.00002123202294,2.995,FL (cm),3890,,
1988,Ralston 1988,Pristipomoides filamentosus,,,,,,,,,,,,,,0.00002593285138,2.89,FL (cm),192,,
1988,Ralston 1988,Pristipomoides sieboldii,,,,,,,,,,,,,,0.000006927580084,3.258,FL (cm),55,,
1988,Ralston 1988,Etelis carbunculus,,,,,,,,,,,,,,0.0000182745715,2.984,FL (cm),969,,
1988,Ralston 1988,Etelis coruscans,,,,,,,,,,,,,,0.0000172103433,2.961,FL (cm),197,,
1988,Ralston and Williams 1988 ,Pristipomoides zonatus,Mariana Islands,9,442,0.234,-0.89,FL (mm),,,,,,,,,,,,,
1988,Ralston and Williams 1988 ,Pristipomoides filamentosus,Mariana Islands,10,584,0.289,-0.54,FL (mm),,,,,,,,,,,,,
1988,Ralston and Williams 1988,Pristipomoides sieboldii,Mariana Islands,8,441,0.351,-0.3,FL (mm),,,,,,,,,,,,,
1988,Ralston and Williams 1988,Etelis carbunculus,Mariana Islands,4,403,0.347,-1.06,FL (mm),,,,,,,,,,,,,
1988,Ralston and Williams 1988,Etelis coruscans,Mariana Islands,11,1091,0.123,-1.19,FL (mm),,,,,,,,,,,,,
1988,Ralston and Williams 1988,Apareus rutilans,Mariana Islands,14,1229,0.163,-0.36,FL (mm),,,,,,,,,,,,,
2021,Scherrer et al 2021,Pristipomoides filamentosus,HI,378,68.14,0.22,-0.37,FL (cm),,,,,,,,,,,,,
1991,Smith and Kostian 1991,Etelis carbunculus,HI,37,1182.8,0.064,2.06,FL (mm),,,,,,,,,,,,,
1991,Smith and Kostian 1991,Etelis carbunculus,Northern Marianas Islands,62,750,0.179,-0.18,FL (mm),,,,,,,,,,,,,
1991,Smith and Kostian 1991,Etelis carbunculus,French Polynesia,60,1458.6,0.039,1.13,FL (mm),,,,,,,,,,,,,
2011,Sundberg and Underkoffler 2011,Etelis carbunculus,MHI,,,,,,,,,,,,,3.31E-05,2.7993,,418,,
2011,Sundberg and Underkoffler 2011,Etelis carbunculus,NWHI,,,,,,,,,,,,,1.49E-05,3.0199,,50,,
2011,Sundberg and Underkoffler 2011,Hyporthodus quernus,MHI,,,,,,,,,,,,,6.41E-05,2.6948,,53,,
2011,Sundberg and Underkoffler 2011,Hyporthodus quernus,NWHI,,,,,,,,,,,,,2.47E-05,2.9129,,147,,
2011,Sundberg and Underkoffler 2011,Etelis coruscans,MHI,,,,,,,,,,,,,2.61E-05,2.8411,,756,,
2011,Sundberg and Underkoffler 2011,Etelis coruscans,NWHI,,,,,,,,,,,,,1.95E-05,2.9208,,34,,
2011,Sundberg and Underkoffler 2011,Pristipomoides filamentosus,MHI,,,,,,,,,,,,,6.38E-05,2.7621,,778,,
2011,Sundberg and Underkoffler 2011,Pristipomoides filamentosus,NWHI,,,,,,,,,,,,,1.32E-05,3.029,,80,,
2003,Uchiyama and Kazama 2003,Etelis carbunculus,NWHI,,,,,,,,,,,,,1.71E-05,3.00985,FL,1221,,
2003,Uchiyama and Kazama 2003,Etelis coruscans,NWHI,,,,,,,,,,,,,5.51E-05,2.69544,FL,123,,
2003,Uchiyama and Kazama 2003,Pristipomoides filamentosus,NWHI,,,,,,,,,,,,,3.81E-05,2.79567,FL,1531,,
2003,Uchiyama and Kazama 2003,Pristipomoides sieboldii,NWHI,,,,,,,,,,,,,2.18E-05,2.94162,FL,329,,
2003,Uchiyama and Kazama 2003,Pristipomoides zonatus,NWHI,,,,,,,,,,,,,4.08E-05,2.83294,FL,189,,
2003,Uchiyama and Kazama 2003,Hyporthodus quernus,NWHI,,,,,,,,,,,,,1.62E-05,3.02944,TL,80,,
1984,Uchiyama et al 1984,Hyporthodus quernus,NWHI,,,,,,,,,,,,,0.413500935,0.3187,,547,,
1984,Uchiyama et al 1984,Pristipomoides filamentosus,NWHI,,,,,,,,,,,,,0.4124941473,0.3455,,471,,
1984,Uchiyama et al 1984,Pristipomoides sieboldii,NWHI,,,,,,,,,,,,,0.4106254146,0.2758,,128,,
1984,Uchiyama et al 1984,Pristipomoides zonatus,NWHI,,,,,,,,,,,,,0.4079005401,0.3026,,86,,
1984,Uchiyama et al 1984,Etelis carbunculus,NWHI,,,,,,,,,,,,,0.4126956916,0.1392,,754,,
1984,Uchiyama et al 1984,Etelis coruscans,NWHI,,,,,,,,,,,,,0.4148564068,0.3376,,44,,